Panelist ID,Sex code,Date of birth,Marital status,Household status,Working status,Terminal age of education,Life stage,Ethnic Origin,Disability,No of TV Sets,No of VCRs,No of PVRs,No of DVDs,No of People,Social Class,Presence of Children,Demographic cell 1,Number of DVD Recorders,Number of DVD Players,Number of Sky PVRs,Number of other PVRs,Broadband,Mosaic Classification,Aire@Morning,Aire@Daytime,Aire@Early Fringe,Aire@Late Fringe,Aire@Prime,Aire@Late Night,Aire@Overnight,Cable@Morning,Cable@Daytime,Cable@Early Fringe,Cable@Late Fringe,Cable@Prime,Cable@Late Night,Cable@Overnight,Deportes@Morning,Deportes@Daytime,Deportes@Early Fringe,Deportes@Late Fringe,Deportes@Prime,Deportes@Late Night,Deportes@Overnight,Infantil@Morning,Infantil@Daytime,Infantil@Early Fringe,Infantil@Late Fringe,Infantil@Prime,Infantil@Late Night,Infantil@Overnight
002945301,2,1948-09-01,2,4,4,1,06,01,002,02,0,2,2,01,D ,1,10,0,2,0,2,1,038,383.00,2059.00,1695.00,1534.00,990.00,0.00,38.00,136.00,1422.00,289.00,677.00,797.00,127.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
004049303,1,2010-09-01,2,1,5,4,99,01,003,02,0,2,1,04,AB,3,05,0,1,1,1,1,007,258.00,424.00,358.00,422.00,64.00,0.00,0.00,92.00,88.00,132.00,220.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,4.00,33.00,19.00,1.00,3.00,0.00
001360102,2,1990-07-01,1,1,4,3,12,01,003,02,0,0,1,03,D ,1,08,0,1,0,0,1,048,0.00,0.00,0.00,200.00,116.00,0.00,0.00,0.00,67.00,183.00,45.00,1705.00,362.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
004205501,1,1943-03-01,1,3,4,3,07,01,003,02,0,1,1,01,AB,1,09,0,1,0,0,1,064,96.00,513.00,589.00,739.00,2443.00,555.00,1024.00,0.00,276.00,405.00,342.00,818.00,132.00,185.00,0.00,5.00,30.00,35.00,154.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
005079901,2,1979-01-01,1,2,2,3,09,01,003,02,0,2,1,04,AB,3,05,0,1,0,0,1,027,1.00,631.00,499.00,322.00,725.00,89.00,0.00,103.00,62.00,42.00,91.00,411.00,98.00,61.00,0.00,0.00,0.00,148.00,296.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,14.00
003032203,1,1983-11-01,2,1,1,2,01,01,003,01,0,0,1,04,C2,1,08,0,1,0,0,1,099,0.00,307.00,509.00,200.00,191.00,0.00,0.00,0.00,5.00,2.00,179.00,270.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003859302,1,1991-07-01,1,3,1,2,08,01,003,02,0,1,0,04,C2,4,04,0,0,0,1,1,039,476.00,1.00,19.00,448.00,89.00,0.00,0.00,0.00,170.00,98.00,516.00,240.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,787.00,285.00,1.00,0.00,0.00,0.00
001949602,1,1975-01-01,1,3,1,2,09,01,003,06,0,1,3,05,AB,7,05,0,3,1,0,1,013,0.00,0.00,0.00,97.00,218.00,0.00,0.00,0.00,1.00,56.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,179.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
001898701,1,1947-03-01,2,4,4,1,06,01,002,01,1,1,1,01,C2,1,10,0,1,1,0,1,099,0.00,0.00,59.00,64.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
001774901,2,1969-08-01,1,4,2,1,11,01,003,03,0,1,0,06,D ,1,08,0,0,1,0,1,016,130.00,159.00,440.00,1007.00,1031.00,52.00,12.00,84.00,0.00,31.00,326.00,450.00,7.00,93.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
002455801,2,1962-05-01,1,2,1,2,07,01,003,02,0,1,0,02,C2,1,08,0,0,0,1,1,037,1743.00,1678.00,550.00,1336.00,1618.00,54.00,180.00,224.00,543.00,245.00,262.00,434.00,76.00,38.00,0.00,81.00,0.00,46.00,0.00,0.00,0.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00
003483501,2,1953-06-01,1,2,4,2,07,01,002,01,0,1,1,02,C1,1,09,0,1,0,1,1,015,1394.00,1541.00,1011.00,2370.00,3387.00,22.00,0.00,1.00,55.00,47.00,7.00,169.00,44.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
009003103,1,1957-08-01,2,1,4,2,12,01,003,02,1,0,2,03,AB,1,09,0,2,0,0,1,013,21.00,4101.00,2643.00,2818.00,1737.00,3.00,0.00,0.00,490.00,94.00,35.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000355802,2,1939-03-01,1,2,4,3,07,01,003,01,0,0,1,02,AB,1,09,0,1,0,0,1,012,0.00,1316.00,1117.00,1186.00,1064.00,0.00,0.00,0.00,316.00,169.00,34.00,217.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
005111101,2,1981-02-01,1,4,2,3,05,10,003,02,0,1,1,02,C1,1,01,0,1,0,1,1,009,736.00,1762.00,643.00,1020.00,2767.00,6.00,0.00,139.00,236.00,173.00,1103.00,213.00,8.00,1.00,104.00,262.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000616905,1,1965-11-01,2,1,1,2,04,01,003,04,0,2,3,02,AB,1,07,0,3,2,0,1,047,1006.00,2051.00,1675.00,284.00,1364.00,74.00,0.00,59.00,829.00,40.00,421.00,1519.00,513.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00,0.00,0.00,0.00,3.00,0.00
002585603,1,2000-05-01,2,1,5,4,10,01,003,02,0,1,2,04,C2,5,06,0,2,0,1,1,099,0.00,0.00,148.00,440.00,286.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
005173504,2,1993-11-01,2,1,4,3,01,01,003,01,0,1,0,04,C1,1,07,0,0,1,0,1,023,0.00,16.00,219.00,414.00,457.00,0.00,0.00,0.00,196.00,25.00,492.00,390.00,0.00,0.00,0.00,18.00,50.00,96.00,50.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,22.00
005131002,2,1978-11-01,1,2,2,3,08,10,003,01,0,1,0,03,C1,2,03,0,0,0,0,1,064,29.00,42.00,169.00,218.00,478.00,0.00,0.00,1049.00,202.00,68.00,677.00,355.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
003338702,2,1928-06-01,1,2,4,1,07,01,001,01,0,1,1,02,AB,1,09,0,1,0,1,2,019,112.00,386.00,1829.00,3826.00,1419.00,0.00,0.00,0.00,0.00,0.00,1.00,197.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003582201,2,1971-12-01,1,2,2,2,10,01,003,01,0,1,0,04,AB,5,05,0,0,0,1,1,021,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003675704,1,2012-05-01,2,1,5,4,99,01,003,02,0,2,1,04,C1,3,05,0,1,1,1,1,014,39.00,345.00,346.00,925.00,23.00,4.00,0.00,108.00,202.00,283.00,118.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,184.00,330.00,565.00,175.00,0.00,0.00,45.00
004198902,1,1984-06-01,1,1,4,2,12,02,003,02,0,1,0,03,E ,1,02,0,0,1,0,1,099,0.00,141.00,53.00,96.00,21.00,0.00,0.00,0.00,52.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003901504,1,1999-10-01,2,1,5,4,01,01,003,01,0,1,1,03,AB,1,07,1,0,1,0,1,008,0.00,103.00,91.00,1.00,73.00,82.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
