id;nombre;marca;presentacion;nombre_1;nombre_2;nombre_3;Clasificaci�n
40084107;Huevo de Chocolate Sorpresa Kinder 20 Gr;KINDER;20.0 gr;Huevo;Huevo   de;Huevo   de   Chocolate;Golosinas
75027513;Desodorante Original Dove 50 Gr;DOVE;50.0 gr;Desodorante;Desodorante   Original;Desodorante   Original   Dove;Perfumería e higiene personal
75032715;Cerveza Rubia Corona 335 Cc;CORONA;355.0 cc;Cerveza;Cerveza   Rubia;Cerveza   Rubia   Corona;"Bebidas alcohólicas (no bebidas ""blancas"")"
77903518;Galletitas Obleas Rellena Opera 92 Gr;OPERA;92.0 gr;Galletitas;Galletitas   Obleas;Galletitas   Obleas   Rellena;Panificados, pastas y arroz
77940131;Turron Arcor 25 Gr;ARCOR;25.0 gr;Turron;Turron   Arcor;Turron   Arcor   25;Golosinas
77940704;Desodorante en Crema en Pote Odorono Rexona 60 Gr;REXONA;60.0 gr;Desodorante;Desodorante   en;Desodorante   en   Crema;Perfumería e higiene personal
77953063;Postre Dulce de Leche Danette Pack 2 Un 190 Gr;DANETTE;190.0 gr;Postre;Postre   Dulce;Postre   Dulce   de;Golosinas
77953070;Postre Chocolate Danette Pack 2 Un 190 Gr;DANETTE;190.0 gr;Postre;Postre   Chocolate;Postre   Chocolate   Danette;Golosinas
78924468;Desodorante Antitranspirante Roll On Original Dove 50 Ml;DOVE;50.0 ml;Desodorante;Desodorante   Antitranspirante;Desodorante   Antitranspirante   Roll;Perfumería e higiene personal
78924529;Desodorante Roll On Invisible Dove 50 Ml;DOVE;50.0 ml;Desodorante;Desodorante   Roll;Desodorante   Roll   On;Perfumería e higiene personal
80052760;Tableta de Chocolate Kinder Bueno 43 Gr;KINDER;43.0 gr;Tableta;Tableta   de;Tableta   de   Chocolate;Golosinas
38000846731;Papas Fritas Original Pringles 37 Gr;PRINGLES;37.0 gr;Papas;Papas   Fritas;Papas   Fritas   Original;Snacks
41789001918;Sopa Instantanea Pollo Maruchan 64 Gr;MARUCHAN;64.0 gr;Sopa;Sopa   Instantanea;Sopa   Instantanea   Pollo;Almacen no incluidos en otra categoría
41789002922;Sopa Instantanea Carne Maruchan 85 Gr;MARUCHAN;94.0 gr;Sopa;Sopa   Instantanea;Sopa   Instantanea   Carne;Almacen no incluidos en otra categoría
70501051054;Toalla Desmaquillante Neutrogena Ultra Soft Paquete 25 Un;NEUTR�GENA;25.0 un;Toalla;Toalla   Desmaquillante;Toalla   Desmaquillante   Neutrogena;Perfumería e higiene personal
99176316565;Cepillo Dental Max Fresh Medium Colgate 2 Un;COLGATE;2.0 un;Cepillo;Cepillo   Dental;Cepillo   Dental   Max;Perfumería e higiene personal
