Barrio,PrecioPorMetro
Abasto,2646.6353314664348
Agronomia,2643.7692538265374
Almagro,2530.772144230846
Balvanera,2141.385908133202
Barracas,2334.454419443805
Barrio Norte,3195.148453050319
Belgrano,3385.66309757236
Boca,1660.5907846569826
Boedo,2310.1334837300524
Caballito,2806.50965860404
Catalinas,2160.4316385195834
Centro / Microcentro,2328.719030510416
Chacarita,2669.5714189434148
Coghlan,3013.878750734995
Colegiales,2879.8079919048573
Congreso,2174.0427430955096
Constitucion,1860.5946026601641
Flores,2365.068661752043
Floresta,2012.9387001464236
Las Cañitas,3685.489674649501
Liniers,2396.7071575814093
Mataderos,2319.3583872147346
Monserrat,2183.736441885425
Monte Castro,2274.387069927059
Nuñez,3442.4064948671985
Once,2103.9130018323394
Palermo,3449.053687867819
Parque Avellaneda,1844.0184640944635
Parque Centenario,2482.009291335881
Parque Chacabuco,2327.0731723927224
Parque Chas,2640.8618871145486
Parque Patricios,2044.0045051461025
Paternal,2366.2319639158263
Pompeya,1877.0403313300023
Puerto Madero,5982.983417724436
Recoleta,3406.864294227771
Retiro,3041.8622516436058
Saavedra,2706.6786517455216
San Cristobal,2149.859113956074
San Nicolás,2315.8752709908786
San Telmo,2121.0977596453245
Tribunales,2204.915570943415
Velez Sarsfield,1978.0214132121018
Versalles,2136.6822506872895
Villa Crespo,2582.142665573699
Villa Devoto,2621.5359608109657
Villa General Mitre,2345.3412529937837
Villa Lugano,1227.175273815609
Villa Luro,2322.967292281659
Villa Ortuzar,2733.743205919392
Villa Pueyrredón,2647.821620050125
Villa Real,2217.9517731007795
Villa Riachuelo,1519.9004975124378
Villa Santa Rita,2658.295456085653
Villa Soldati,1051.3343340637139
Villa Urquiza,2839.0769147066085
Villa del Parque,2495.21817042422
