Sex code,Date of birth,Marital status,Household status,Ethnic Origin,Disability,No of TV Sets,No of VCRs,No of PVRs,No of DVDs,Social Class,Presence of Children,Number of DVD Recorders,Number of DVD Players,Number of Sky PVRs,Number of other PVRs,Broadband,Aire@Morning,Aire@Daytime,Aire@Early Fringe,Aire@Late Fringe,Aire@Prime,Aire@Late Night,Aire@Overnight,Cable@Morning,Cable@Daytime,Cable@Early Fringe,Cable@Late Fringe,Cable@Prime,Cable@Late Night,Cable@Overnight,Deportes@Morning,Deportes@Daytime,Deportes@Early Fringe,Deportes@Late Fringe,Deportes@Prime,Deportes@Late Night,Deportes@Overnight,Infantil@Morning,Infantil@Daytime,Infantil@Early Fringe,Infantil@Late Fringe,Infantil@Prime,Infantil@Late Night,Infantil@Overnight
2,1948-09-01,2,4,1,2,2,0,2,2,D ,1,0,2,0,2,1,383.0,2059.0,1695.0,1534.0,990.0,0.0,38.0,136.0,1422.0,289.0,677.0,797.0,127.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2010-09-01,2,1,1,3,2,0,2,1,AB,3,0,1,1,1,1,258.0,424.0,358.0,422.0,64.0,0.0,0.0,92.0,88.0,132.0,220.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,33.0,19.0,1.0,3.0,0.0
2,1990-07-01,1,1,1,3,2,0,0,1,D ,1,0,1,0,0,1,0.0,0.0,0.0,200.0,116.0,0.0,0.0,0.0,67.0,183.0,45.0,1705.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1943-03-01,1,3,1,3,2,0,1,1,AB,1,0,1,0,0,1,96.0,513.0,589.0,739.0,2443.0,555.0,1024.0,0.0,276.0,405.0,342.0,818.0,132.0,185.0,0.0,5.0,30.0,35.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1979-01-01,1,2,1,3,2,0,2,1,AB,3,0,1,0,0,1,1.0,631.0,499.0,322.0,725.0,89.0,0.0,103.0,62.0,42.0,91.0,411.0,98.0,61.0,0.0,0.0,0.0,148.0,296.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,14.0
1,1983-11-01,2,1,1,3,1,0,0,1,C2,1,0,1,0,0,1,0.0,307.0,509.0,200.0,191.0,0.0,0.0,0.0,5.0,2.0,179.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1991-07-01,1,3,1,3,2,0,1,0,C2,4,0,0,0,1,1,476.0,1.0,19.0,448.0,89.0,0.0,0.0,0.0,170.0,98.0,516.0,240.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,787.0,285.0,1.0,0.0,0.0,0.0
1,1975-01-01,1,3,1,3,6,0,1,3,AB,7,0,3,1,0,1,0.0,0.0,0.0,97.0,218.0,0.0,0.0,0.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,179.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1947-03-01,2,4,1,2,1,1,1,1,C2,1,0,1,1,0,1,0.0,0.0,59.0,64.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1969-08-01,1,4,1,3,3,0,1,0,D ,1,0,0,1,0,1,130.0,159.0,440.0,1007.0,1031.0,52.0,12.0,84.0,0.0,31.0,326.0,450.0,7.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1962-05-01,1,2,1,3,2,0,1,0,C2,1,0,0,0,1,1,1743.0,1678.0,550.0,1336.0,1618.0,54.0,180.0,224.0,543.0,245.0,262.0,434.0,76.0,38.0,0.0,81.0,0.0,46.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0
2,1953-06-01,1,2,1,2,1,0,1,1,C1,1,0,1,0,1,1,1394.0,1541.0,1011.0,2370.0,3387.0,22.0,0.0,1.0,55.0,47.0,7.0,169.0,44.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1957-08-01,2,1,1,3,2,1,0,2,AB,1,0,2,0,0,1,21.0,4101.0,2643.0,2818.0,1737.0,3.0,0.0,0.0,490.0,94.0,35.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1939-03-01,1,2,1,3,1,0,0,1,AB,1,0,1,0,0,1,0.0,1316.0,1117.0,1186.0,1064.0,0.0,0.0,0.0,316.0,169.0,34.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1981-02-01,1,4,10,3,2,0,1,1,C1,1,0,1,0,1,1,736.0,1762.0,643.0,1020.0,2767.0,6.0,0.0,139.0,236.0,173.0,1103.0,213.0,8.0,1.0,104.0,262.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1965-11-01,2,1,1,3,4,0,2,3,AB,1,0,3,2,0,1,1006.0,2051.0,1675.0,284.0,1364.0,74.0,0.0,59.0,829.0,40.0,421.0,1519.0,513.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,3.0,0.0
1,2000-05-01,2,1,1,3,2,0,1,2,C2,5,0,2,0,1,1,0.0,0.0,148.0,440.0,286.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1993-11-01,2,1,1,3,1,0,1,0,C1,1,0,0,1,0,1,0.0,16.0,219.0,414.0,457.0,0.0,0.0,0.0,196.0,25.0,492.0,390.0,0.0,0.0,0.0,18.0,50.0,96.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,22.0
